convInp10_2L_3x3 | 2711 | [3, 20, 50] | 0,74059, 0,96895, 0,98087, 0,98306, 0,98338, 0,98463, 0,98463, 0,98620, 0,98714, 0,98714, 0,98777, 0,98777, 0,98777, 0,98808, 0,98808, 0,98871, 0,98965, 0,98965, 0,98965, 0,98965, 0,98965, 0,98965, 0,98934, 0,98934, 0,98902, 0,98871, 0,98871, 0,98871, 0,98871, 0,98871 | 4201, 2235, 1716, 1522, 1549, 2032, 1998, 1222, 1492, 4030, 3180, 1133, 1341, 1153, 1301, 1106, 1116, 1857, 2644, 1104, 1137, 1113, 1415, 1111, 1163, 1106, 1110, 1115, 1128, 1670 | 330, 206, 32, 140, 169, 32, 62, 32, 34, 42, 32, 30, 36, 31, 31, 31, 40, 54, 31, 31, 36, 32, 32, 31, 33, 31, 31, 31, 32, 31
convInp10_2L_3x3 | 6911 | [3, 20, 150] | 0,88864, 0,97334, 0,97867, 0,98181, 0,98306, 0,98369, 0,98400, 0,98588, 0,98620, 0,98620, 0,98651, 0,98651, 0,98714, 0,98745, 0,98777, 0,98745, 0,98808, 0,98808, 0,98808, 0,98808, 0,98808, 0,98871, 0,98871, 0,98871, 0,98871, 0,98902, 0,98871, 0,98871, 0,98871, 0,98871 | 1292, 1201, 1177, 1147, 1188, 1784, 1194, 1558, 1312, 1182, 1147, 1137, 1159, 1144, 1197, 1171, 1171, 1160, 1182, 1128, 1159, 1297, 1143, 1159, 1801, 1143, 1170, 1155, 1208, 1134 | 54, 37, 35, 37, 34, 37, 33, 47, 33, 36, 32, 36, 32, 36, 58, 36, 33, 40, 34, 38, 33, 37, 50, 36, 32, 78, 41, 35, 34, 37
convInp10_2L_3x3 | 11111 | [3, 20, 250] | 0,72208, 0,96926, 0,97647, 0,97992, 0,98212, 0,98338, 0,98526, 0,98526, 0,98526, 0,98557, 0,98588, 0,98588, 0,98588, 0,98588, 0,98588, 0,98588, 0,98588, 0,98620, 0,98620, 0,98620, 0,98620, 0,98651, 0,98651, 0,98651, 0,98651, 0,98651, 0,98651, 0,98683, 0,98683, 0,98683 | 1305, 1918, 1353, 1331, 1195, 1245, 1251, 1274, 1307, 3329, 1380, 1247, 1283, 1469, 1392, 1739, 1968, 1417, 1212, 1311, 1203, 1227, 2065, 1610, 1857, 1200, 1360, 1206, 1215, 1296 | 39, 39, 38, 38, 38, 36, 37, 37, 47, 38, 39, 38, 93, 36, 40, 36, 63, 37, 38, 38, 36, 37, 43, 37, 36, 36, 40, 39, 37, 48
convInp10_2L_3x3 | 15311 | [3, 20, 350] | 0,76757, 0,97271, 0,97930, 0,98275, 0,98432, 0,98526, 0,98494, 0,98463, 0,98526, 0,98557, 0,98620, 0,98651, 0,98683, 0,98683, 0,98683, 0,98683, 0,98683, 0,98683, 0,98683, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98808, 0,98839, 0,98871, 0,98871, 0,98871 | 1197, 1174, 1791, 1217, 1169, 1219, 1188, 1180, 1258, 1183, 1211, 1218, 1862, 1173, 1174, 1245, 1269, 1181, 1184, 1848, 1267, 1279, 2422, 1185, 1963, 1291, 1213, 2163, 1405, 1245 | 41, 43, 53, 66, 38, 40, 42, 39, 38, 42, 42, 39, 43, 39, 41, 43, 39, 38, 39, 47, 39, 40, 43, 42, 86, 42, 69, 45, 44, 39
convInp10_2L_3x3 | 19511 | [3, 20, 450] | 0,65245, 0,97396, 0,97898, 0,98212, 0,98526, 0,98620, 0,98683, 0,98620, 0,98588, 0,98588, 0,98557, 0,98557, 0,98588, 0,98557, 0,98588, 0,98620, 0,98620, 0,98620, 0,98683, 0,98683, 0,98651, 0,98714, 0,98683, 0,98714, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777 | 1543, 1500, 1400, 1377, 2065, 1450, 1339, 1371, 1302, 1347, 1299, 1354, 1935, 1388, 1304, 1354, 1291, 1396, 1303, 1396, 1999, 1363, 1874, 1530, 1303, 1429, 1370, 2139, 1424, 1369 | 57, 44, 43, 42, 43, 42, 62, 44, 48, 48, 43, 45, 53, 45, 43, 43, 44, 47, 46, 44, 48, 42, 44, 45, 47, 47, 63, 44, 43, 61
convInp10_2L_3x3 | 23711 | [3, 20, 550] | 0,72742, 0,96895, 0,97804, 0,98149, 0,98275, 0,98306, 0,98651, 0,98683, 0,98683, 0,98683, 0,98808, 0,98808, 0,98808, 0,98808, 0,98777, 0,98808, 0,98808, 0,98808, 0,98808, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98808, 0,98808, 0,98808, 0,98808 | 1457, 1368, 1286, 1361, 1335, 2147, 1359, 2092, 1408, 1434, 2483, 1294, 2127, 1261, 1341, 1255, 1500, 1257, 1303, 1267, 2006, 1266, 1468, 1278, 1259, 1307, 1245, 1259, 1299, 1924 | 61, 47, 49, 50, 45, 47, 48, 46, 50, 47, 48, 46, 48, 48, 47, 56, 46, 48, 45, 47, 47, 49, 49, 45, 50, 46, 56, 74, 53, 48
convInp10_2L_3x3 | 27911 | [3, 20, 650] | 0,68538, 0,97334, 0,97804, 0,98149, 0,98463, 0,98494, 0,98526, 0,98714, 0,98714, 0,98714, 0,98745, 0,98745, 0,98745, 0,98777, 0,98777, 0,98808, 0,98808, 0,98808, 0,98839, 0,98871, 0,98871, 0,98871, 0,98871, 0,98871, 0,98871, 0,98871, 0,98902, 0,98902, 0,98902, 0,98902 | 1449, 2220, 1411, 1368, 1489, 2052, 1446, 1417, 1506, 1487, 1539, 2441, 2155, 1421, 1505, 1345, 1389, 2062, 1345, 1393, 1364, 1397, 1569, 1483, 2017, 1442, 1369, 1450, 1576, 1624 | 63, 49, 49, 48, 47, 47, 73, 48, 50, 54, 74, 48, 85, 49, 56, 47, 50, 49, 47, 48, 47, 51, 56, 94, 52, 47, 47, 60, 55, 49
convInp10_2L_3x3 | 32111 | [3, 20, 750] | 0,72146, 0,96769, 0,97679, 0,97836, 0,98087, 0,98212, 0,98526, 0,98400, 0,98432, 0,98463, 0,98526, 0,98557, 0,98557, 0,98588, 0,98588, 0,98588, 0,98557, 0,98526, 0,98557, 0,98557, 0,98557, 0,98526, 0,98526, 0,98557, 0,98620, 0,98714, 0,98714, 0,98714, 0,98714, 0,98714 | 2000, 2516, 1445, 1345, 1373, 1329, 2034, 1317, 1381, 1328, 1384, 1408, 1324, 1423, 1944, 1383, 1325, 1377, 1327, 1384, 1887, 1591, 1688, 1396, 1342, 1452, 1363, 1400, 1337, 1411 | 82, 60, 56, 56, 57, 56, 61, 57, 57, 56, 57, 66, 64, 56, 56, 57, 56, 56, 58, 62, 63, 59, 54, 56, 55, 56, 58, 58, 56, 56
convInp10_2L_3x3 | 3491 | [3, 30, 50] | 0,89680, 0,97302, 0,97930, 0,98306, 0,98338, 0,98338, 0,98557, 0,98683, 0,98714, 0,98745, 0,98714, 0,98714, 0,98714, 0,98714, 0,98714, 0,98714, 0,98714, 0,98714, 0,98745, 0,98745, 0,98745, 0,98745, 0,98808, 0,98808, 0,98808, 0,98777, 0,98777, 0,98808, 0,98808, 0,98808 | 2231, 1204, 1263, 1195, 1155, 1156, 1150, 1149, 1163, 1155, 1152, 1146, 1260, 1158, 1148, 1148, 1207, 1171, 1150, 1182, 1175, 1148, 1154, 1149, 1151, 1187, 1147, 1141, 1144, 1176 | 35, 32, 53, 36, 31, 33, 32, 32, 31, 30, 30, 32, 32, 31, 32, 33, 38, 32, 31, 47, 30, 34, 32, 32, 32, 32, 33, 32, 62, 33
convInp10_2L_3x3 | 8691 | [3, 30, 150] | 0,90841, 0,97459, 0,97898, 0,97898, 0,98087, 0,98149, 0,98463, 0,98588, 0,98588, 0,98588, 0,98588, 0,98683, 0,98651, 0,98683, 0,98745, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98777, 0,98808, 0,98808, 0,98808, 0,98808, 0,98839, 0,98839, 0,98871, 0,98902 | 1781, 1605, 1297, 1257, 1334, 1195, 1295, 1277, 1237, 1212, 1255, 1359, 1230, 1215, 1325, 1247, 1260, 1209, 1311, 1271, 1234, 1307, 1248, 1251, 1231, 1237, 1276, 1246, 1284, 1197 | 40, 35, 36, 37, 34, 35, 36, 57, 33, 41, 35, 37, 34, 34, 36, 38, 32, 35, 35, 39, 34, 36, 35, 36, 52, 42, 35, 35, 33, 35
